combo,P3,P6,P7,P8,P9,P10,P13,P16
ABDEFGHI,A,F,H,I,E,B,G,D
ABDEFGHJ,A,F,H,J,E,B,G,D
ABDEFGHK,A,F,H,K,E,B,G,D
ABDEFGHL,A,F,L,E,H,B,G,D
ABDEFGIJ,A,F,I,J,E,B,G,D
ABDEFGIK,A,F,I,K,E,B,G,D
ABDEFGIL,A,F,L,E,I,B,G,D
ABDEFGJK,A,F,K,J,E,B,G,D
ABDEFGJL,A,F,L,E,J,B,G,D
ABDEFGKL,A,F,K,E,L,B,G,D
ABDEFHIJ,A,F,E,H,I,B,J,D
ABDEFHIK,A,F,E,H,I,B,K,D
ABDEFHIL,A,F,H,E,I,B,L,D
ABDEFHJK,A,F,E,H,J,B,K,D
ABDEFHJL,A,F,H,E,J,B,L,D
ABDEFHKL,A,F,H,E,K,B,L,D
ABDEFIJK,A,F,E,I,J,B,K,D
ABDEFIJL,A,F,I,E,J,B,L,D
ABDEFIKL,A,F,I,E,K,B,L,D
ABDEFJKL,A,F,K,E,J,B,L,D
ABDEGHIJ,A,D,H,I,E,B,G,J
ABDEGHIK,A,D,H,K,E,B,G,I
ABDEGHIL,A,D,I,E,H,B,G,L
ABDEGHJK,A,G,H,J,E,B,K,D
ABDEGHJL,A,D,L,E,H,B,G,J
ABDEGHKL,A,G,K,E,H,B,L,D
ABDEGIJK,A,D,K,J,E,B,G,I
ABDEGIJL,A,D,L,E,I,B,G,J
ABDEGIKL,A,D,K,E,I,B,G,L
ABDEGJKL,A,G,K,E,J,B,L,D
ABDEHIJK,A,D,H,J,K,B,E,I
ABDEHIJL,A,D,H,E,J,B,I,L
ABDEHIKL,A,D,H,E,K,B,I,L
ABDEHJKL,A,H,K,E,J,B,L,D
ABDEIJKL,A,D,K,E,L,B,I,J
ABDFGHIJ,D,F,H,I,A,B,G,J
ABDFGHIK,K,F,H,I,A,B,G,D
ABDFGHIL,D,F,H,I,A,B,G,L
ABDFGHJK,K,G,F,H,A,B,J,D
ABDFGHJL,D,G,F,H,A,B,J,L
ABDFGHKL,K,G,F,H,A,B,L,D
ABDFGIJK,K,F,I,J,A,B,G,D
ABDFGIJL,D,F,I,J,A,B,G,L
ABDFGIKL,D,F,I,K,A,B,G,L
ABDFGJKL,K,G,F,J,A,B,L,D
ABDFHIJK,A,F,H,I,J,B,K,D
ABDFHIJL,A,F,H,I,J,B,L,D
ABDFHIKL,A,F,H,I,K,B,L,D
ABDFHJKL,A,K,F,H,J,B,L,D
ABDFIJKL,A,F,I,J,K,B,L,D
ABDGHIJK,B,D,H,J,A,K,G,I
ABDGHIJL,B,D,H,I,A,J,G,L
ABDGHIKL,B,D,H,I,A,K,G,L
ABDGHJKL,K,G,H,J,A,B,L,D
ABDGIJKL,B,D,I,J,A,K,G,L
ABDHIJKL,A,D,H,I,K,B,J,L
ABEFGHIJ,A,F,H,I,E,B,G,J
ABEFGHIK,A,F,H,K,E,B,G,I
ABEFGHIL,A,F,I,E,H,B,G,L
ABEFGHJK,A,G,H,K,E,B,F,J
ABEFGHJL,A,G,L,E,H,B,F,J
ABEFGHKL,A,G,K,E,H,B,F,L
ABEFGIJK,A,F,K,J,E,B,G,I
ABEFGIJL,A,F,L,E,I,B,G,J
ABEFGIKL,A,F,K,E,I,B,G,L
ABEFGJKL,A,G,K,E,J,B,F,L
ABEFHIJK,A,F,H,J,K,B,E,I
ABEFHIJL,A,F,H,E,J,B,I,L
ABEFHIKL,A,F,H,E,K,B,I,L
ABEFHJKL,A,H,K,E,L,B,F,J
ABEFIJKL,A,F,K,E,L,B,I,J
ABEGHIJK,A,G,H,J,K,B,E,I
ABEGHIJL,A,G,H,E,J,B,I,L
ABEGHIKL,A,G,H,E,K,B,I,L
ABEGHJKL,A,K,L,E,H,B,G,J
ABEGIJKL,A,G,K,E,L,B,I,J
ABEHIJKL,A,H,K,E,L,B,I,J
ABFGHIJK,B,F,H,J,A,K,G,I
ABFGHIJL,B,F,H,I,A,J,G,L
ABFGHIKL,B,F,H,I,A,K,G,L
ABFGHJKL,B,K,F,H,A,L,G,J
ABFGIJKL,B,F,I,J,A,K,G,L
ABFHIJKL,A,F,H,I,K,B,J,L
ABGHIJKL,A,G,H,I,K,B,J,L
ACDEFGHI,A,F,C,H,E,I,G,D
ACDEFGHJ,A,D,C,H,E,F,G,J
ACDEFGHK,A,G,C,H,E,F,K,D
ACDEFGHL,A,D,C,E,H,F,G,L
ACDEFGIJ,A,F,C,J,E,I,G,D
ACDEFGIK,A,F,C,K,E,I,G,D
ACDEFGIL,A,F,C,E,I,L,G,D
ACDEFGJK,A,G,C,J,E,F,K,D
ACDEFGJL,A,D,C,E,J,F,G,L
ACDEFGKL,A,G,C,E,K,F,L,D
ACDEFHIJ,A,F,C,H,I,E,J,D
ACDEFHIK,A,F,C,H,I,E,K,D
ACDEFHIL,A,F,C,E,H,I,L,D
ACDEFHJK,A,F,C,H,J,E,K,D
ACDEFHJL,A,D,C,E,H,F,J,L
ACDEFHKL,A,H,C,E,K,F,L,D
ACDEFIJK,A,F,C,I,J,E,K,D
ACDEFIJL,A,F,C,E,J,I,L,D
ACDEFIKL,A,F,C,E,K,I,L,D
ACDEFJKL,A,C,K,E,J,F,L,D
ACDEGHIJ,A,D,C,H,E,I,G,J
ACDEGHIK,A,D,C,H,E,K,G,I
ACDEGHIL,A,D,C,E,H,I,G,L
ACDEGHJK,A,G,C,H,E,J,K,D
ACDEGHJL,A,D,C,E,H,J,G,L
ACDEGHKL,A,G,C,E,H,K,L,D
ACDEGIJK,A,D,C,J,E,K,G,I
ACDEGIJL,A,D,C,E,I,J,G,L
ACDEGIKL,A,D,C,E,I,K,G,L
ACDEGJKL,A,G,C,E,J,K,L,D
ACDEHIJK,A,D,C,H,I,J,K,E
ACDEHIJL,A,D,C,E,H,I,J,L
ACDEHIKL,A,D,C,E,H,K,L,I
ACDEHJKL,A,H,C,E,K,J,L,D
ACDEIJKL,A,D,C,E,J,K,L,I
ACDFGHIJ,D,F,C,H,A,I,G,J
ACDFGHIK,K,F,C,H,A,I,G,D
ACDFGHIL,D,F,C,H,A,I,G,L
ACDFGHJK,K,G,C,H,A,F,J,D
ACDFGHJL,D,G,C,H,A,F,J,L
ACDFGHKL,K,G,C,H,A,F,L,D
ACDFGIJK,K,F,C,J,A,I,G,D
ACDFGIJL,D,F,C,I,A,J,G,L
ACDFGIKL,K,F,C,I,A,L,G,D
ACDFGJKL,K,G,C,J,A,F,L,D
ACDFHIJK,A,F,C,H,J,I,K,D
ACDFHIJL,A,F,C,H,J,I,L,D
ACDFHIKL,A,F,C,H,K,I,L,D
ACDFHJKL,A,K,C,H,J,F,L,D
ACDFIJKL,A,F,C,I,K,J,L,D
ACDGHIJK,K,D,C,H,A,J,G,I
ACDGHIJL,L,D,C,H,A,I,G,J
ACDGHIKL,K,D,C,H,A,L,G,I
ACDGHJKL,K,G,C,H,A,J,L,D
ACDGIJKL,K,D,C,I,A,L,G,J
ACDHIJKL,A,D,C,H,J,K,L,I
ACEFGHIJ,A,F,C,H,E,I,G,J
ACEFGHIK,A,F,C,H,E,K,G,I
ACEFGHIL,A,F,C,E,H,I,G,L
ACEFGHJK,A,F,C,H,E,K,G,J
ACEFGHJL,A,F,C,E,H,J,G,L
ACEFGHKL,A,F,C,E,H,K,G,L
ACEFGIJK,A,F,C,J,E,K,G,I
ACEFGIJL,A,F,C,E,I,J,G,L
ACEFGIKL,A,F,C,E,I,K,G,L
ACEFGJKL,A,F,C,E,J,K,G,L
ACEFHIJK,A,F,C,H,I,J,K,E
ACEFHIJL,A,F,C,E,H,I,J,L
ACEFHIKL,A,F,C,E,H,K,L,I
ACEFHJKL,A,F,C,E,H,K,L,J
ACEFIJKL,A,F,C,E,J,K,L,I
ACEGHIJK,A,G,C,H,I,J,K,E
ACEGHIJL,A,G,C,E,H,I,J,L
ACEGHIKL,A,G,C,E,H,K,L,I
ACEGHJKL,A,G,C,E,H,K,L,J
ACEGIJKL,A,G,C,E,J,K,L,I
ACEHIJKL,A,H,C,E,J,K,L,I
ACFGHIJK,K,F,C,H,A,J,G,I
ACFGHIJL,L,F,C,H,A,I,G,J
ACFGHIKL,K,F,C,H,A,L,G,I
ACFGHJKL,F,G,C,H,A,K,L,J
ACFGIJKL,K,F,C,I,A,L,G,J
ACFHIJKL,A,F,C,H,J,K,L,I
ACGHIJKL,A,G,C,H,J,K,L,I
ADEFGHIJ,A,F,H,J,E,I,G,D
ADEFGHIK,A,F,H,K,E,I,G,D
ADEFGHIL,A,F,L,E,H,I,G,D
ADEFGHJK,A,G,H,J,E,F,K,D
ADEFGHJL,A,D,L,E,H,F,G,J
ADEFGHKL,A,G,K,E,H,F,L,D
ADEFGIJK,A,F,K,J,E,I,G,D
ADEFGIJL,A,F,L,E,I,J,G,D
ADEFGIKL,A,F,K,E,I,L,G,D
ADEFGJKL,A,G,K,E,J,F,L,D
ADEFHIJK,A,F,H,I,J,E,K,D
ADEFHIJL,A,F,H,E,J,I,L,D
ADEFHIKL,A,F,H,E,K,I,L,D
ADEFHJKL,A,H,K,E,J,F,L,D
ADEFIJKL,A,F,K,E,J,I,L,D
ADEGHIJK,A,D,H,J,E,K,G,I
ADEGHIJL,A,D,I,E,H,J,G,L
ADEGHIKL,A,D,K,E,H,L,G,I
ADEGHJKL,A,G,K,E,H,J,L,D
ADEGIJKL,A,D,K,E,I,L,G,J
ADEHIJKL,A,D,H,E,J,K,L,I
ADFGHIJK,K,F,H,J,A,I,G,D
ADFGHIJL,D,F,H,I,A,J,G,L
ADFGHIKL,K,F,H,I,A,L,G,D
ADFGHJKL,K,G,F,H,A,J,L,D
ADFGIJKL,K,F,I,J,A,L,G,D
ADFHIJKL,A,F,H,I,K,J,L,D
ADGHIJKL,K,D,H,I,A,L,G,J
AEFGHIJK,A,F,H,J,E,K,G,I
AEFGHIJL,A,F,I,E,H,J,G,L
AEFGHIKL,A,F,K,E,H,L,G,I
AEFGHJKL,A,F,K,E,H,L,G,J
AEFGIJKL,A,F,K,E,I,L,G,J
AEFHIJKL,A,F,H,E,J,K,L,I
AEGHIJKL,A,G,H,E,J,K,L,I
AFGHIJKL,K,F,H,I,A,L,G,J
BCDEFGHI,B,F,C,H,E,I,G,D
BCDEFGHJ,B,D,C,H,E,F,G,J
BCDEFGHK,B,G,C,H,E,F,K,D
BCDEFGHL,B,D,C,E,H,F,G,L
BCDEFGIJ,B,F,C,J,E,I,G,D
BCDEFGIK,B,F,C,K,E,I,G,D
BCDEFGIL,B,F,C,E,I,L,G,D
BCDEFGJK,B,G,C,J,E,F,K,D
BCDEFGJL,B,D,C,E,J,F,G,L
BCDEFGKL,B,G,C,E,K,F,L,D
BCDEFHIJ,B,F,C,H,I,E,J,D
BCDEFHIK,B,F,C,H,I,E,K,D
BCDEFHIL,B,F,C,E,H,I,L,D
BCDEFHJK,B,F,C,H,J,E,K,D
BCDEFHJL,B,D,C,E,H,F,J,L
BCDEFHKL,B,H,C,E,K,F,L,D
BCDEFIJK,B,F,C,I,J,E,K,D
BCDEFIJL,B,F,C,E,J,I,L,D
BCDEFIKL,B,F,C,E,K,I,L,D
BCDEFJKL,B,C,K,E,J,F,L,D
BCDEGHIJ,B,D,C,H,E,I,G,J
BCDEGHIK,B,D,C,H,E,K,G,I
BCDEGHIL,B,D,C,E,H,I,G,L
BCDEGHJK,B,G,C,H,E,J,K,D
BCDEGHJL,B,D,C,E,H,J,G,L
BCDEGHKL,B,G,C,E,H,K,L,D
BCDEGIJK,B,D,C,J,E,K,G,I
BCDEGIJL,B,D,C,E,I,J,G,L
